"Marca temporal","¿Cuál es tu nivel de conocimiento sobre Bitcoin? ","¿Has realizado alguna inversión en Bitcoin o en otras criptomonedas?","¿Cuál es tu percepción sobre la seguridad de las transacciones con Bitcoin?","¿Cuál crees que es el principal beneficio de utilizar Bitcoin como forma de pago?","¿Cuáles son los riesgos asociados con la volatilidad del precio de Bitcoin?","
¿Conoces alguna regulación gubernamental sobre el uso de Bitcoin en tu país?","¿Qué opinas sobre la descentralización de Bitcoin en comparación con las monedas tradicionales?","¿Cómo describirías la tecnología subyacente de Bitcoin, la cadena de bloques (blockchain)?","¿Consideras que Bitcoin es una inversión a largo plazo o a corto plazo?","¿Qué factores crees que influyen más en la fluctuación del precio de Bitcoin?","¿Estás familiarizado con el proceso de minería de Bitcoin y su impacto ambiental?","
¿Cuál es tu opinión sobre la adopción masiva de Bitcoin en el futuro?","¿Cómo crees que las criptomonedas, incluyendo Bitcoin, pueden cambiar el sistema financiero tradicional?","¿Has experimentado alguna vez problemas de seguridad o hackeos relacionados con Bitcoin?","¿Cuál es tu perspectiva sobre el papel de Bitcoin en un mundo cada vez más digitalizado?"
"2024/01/11 7:17:55 a.m. GMT+1","Principiante","No","Neutrales","Anonimato","Incertidumbre financiera","No estoy seguro","Indiferente","Compleja","No lo sé","Demanda y oferta","No","No estoy segura","Mayor inclusión financiera","No he utilizado Bitcoin","No estoy segura"
"2024/01/11 8:14:44 a.m. GMT+1","Intermedio","No","Muy seguras","Anonimato","Incertidumbre financiera","No","Ventaja","Compleja","Largo plazo","Demanda y oferta","Sí","No sucederá ","Descentralización del poder financiero","No","Perderá relevancia hasta ser usada solo por gente que busca anonimato"
"2024/01/11 9:12:48 a.m. GMT+1","Principiante","No","Seguras","Descentralización","Incertidumbre financiera","No","Indiferente","Desafiante","Largo plazo","Demanda y oferta","No","No entiendo del tema","Descentralización del poder financiero","No he utilizado Bitcoin","No entiendo del tema"
"2024/01/11 9:15:57 a.m. GMT+1","Principiante","No","Inseguras","Rápidez en las transacciones","Pérdida de inversión","No estoy seguro","Indiferente","Compleja","No lo sé","Demanda y oferta","No","Desde el desconocimiento absoluto creo que es muy posible llegar a esa adopción masiva, pero espero que eso no absorba otras formas de pago por los problemas que puede llegar a tener.","Mayor eficiencia en transacciones","No he utilizado Bitcoin","No tengo interés en él, pero creo que para aquellos que sí se interesan puede llegar a ser un medio muy importante, ya que cada vez nos acomodamos y dependemos más de las tecnologías."
"2024/01/11 10:26:55 a.m. GMT+1","Intermedio","No","Neutrales","Descentralización","Incertidumbre financiera","No","Indiferente","Innovadora","Largo plazo","Regulaciones gubernamentales","No","Ni idea.","Descentralización del poder financiero","No he utilizado Bitcoin","Vinicius seguro q tiene"
"2024/01/11 8:30:09 p.m. GMT+1","Principiante","No","Neutrales","Bajas comisiones","Incertidumbre financiera","Si","Indiferente","Compleja","Largo plazo","Demanda y oferta","Sí","Que puede cambiar la moneda de cambio por completo ","Mayor inclusión financiera","No he utilizado Bitcoin","Que es una moda que puede haber llegado para implantarse entre nosotros "
"2024/01/11 8:35:25 p.m. GMT+1","Principiante","No","Inseguras","Descentralización","Incertidumbre financiera","No","Indiferente","Compleja","No lo sé","Noticias del mercado","No","No conozco mucho del tema","Descentralización del poder financiero","No he utilizado Bitcoin","No tengo conocimientos acerca del tema"
"2024/01/11 8:36:25 p.m. GMT+1","Principiante","No","Seguras","Bajas comisiones","Incertidumbre financiera","No estoy seguro","Ventaja","Desafiante","Largo plazo","Demanda y oferta","No","A favor.","Descentralización del poder financiero","No","Es un avance necesario y paralela pero proporcionalmente obligatorio"
"2024/01/11 8:44:07 p.m. GMT+1","Principiante","No","Inseguras","Descentralización","Incertidumbre financiera","No estoy seguro","Desventaja","Compleja","Corto plazo","Demanda y oferta","No","no entiendo mucho del tema asique no tengo una opinión sólida, pero considero que van a ser más cosas negativas que positivas ","Descentralización del poder financiero","No he utilizado Bitcoin","No lo sé "
"2024/01/11 8:44:56 p.m. GMT+1","Principiante","No","Neutrales","Descentralización","Pérdida de inversión","No","Ventaja","Innovadora","Corto plazo","Noticias del mercado","No","Que perderá su fuerza y valor","Mayor eficiencia en transacciones","No he utilizado Bitcoin","Siendo ignorante en el tema, me parece poco seguro al ser en la red y no en físico, parece que sea muy susceptible de algún hackeo"
"2024/01/11 8:46:16 p.m. GMT+1","Principiante","No","Neutrales","Descentralización","Incertidumbre financiera","No estoy seguro","Ventaja","Compleja","No lo sé","Noticias del mercado","Sí","De momento lo veo difícil hasta que evolucione la tecnología y el conocimiento de la gente","Descentralización del poder financiero","No he utilizado Bitcoin","Como comentaba es un progreso en la digitalización pero necesita evolucionar y regularse"
"2024/01/11 8:51:00 p.m. GMT+1","Intermedio","No","Inseguras","Bajas comisiones","Incertidumbre financiera","No","Ventaja","Transparente","Largo plazo","Demanda y oferta","Sí","No me genera mucha confianza ","Descentralización del poder financiero","No he utilizado Bitcoin","Necesita una supervisión "
"2024/01/11 8:51:14 p.m. GMT+1","Intermedio","Si","Seguras","Descentralización","Pérdida de inversión","No","Ventaja","Compleja","Corto plazo","Noticias del mercado","Sí","La economía no debería estar basada en una criptomoneda, debido a la volatilidad que tiene y las consecuencias que esto tendría para el mercado","Descentralización del poder financiero","No","Es una criptomoneda muy famosa ya, con poco nivel de crecimiento pero que sin duda seguirá presente en los próximos años"
"2024/01/11 9:05:11 p.m. GMT+1","Principiante","No","Neutrales","Anonimato","Pérdida de inversión","No","Indiferente","Transparente","No lo sé","Demanda y oferta","No","me da igual yerai, callate","Mayor inclusión financiera","No","q yerai es cada dia mas guapo"
"2024/01/11 9:14:43 p.m. GMT+1","Avanzado","Si","Seguras","Anonimato","Pérdida de inversión","No","Ventaja","Innovadora","Largo plazo","Noticias del mercado","Sí","Pienso que el bitcoin como tal, no se adoptará completamente debido a los intereses financieros que tienen no solo los distintos bancos mundiales, si no también las entidades asociadas a las divisas como el euro, el dolar, la libra etc. Así como su constante cambio de valor.","Descentralización del poder financiero","No","Creo que el bitcoin puede aportar una serie de ventajas, como la transparencia en transacciones o su descentralización, pero al ser dependiente de internet y redes, es mucho más susceptible de ser robado al no tener un respaldo físico, que por otro lado, los bancos tradicionales tienen, pero tienden cada vez más a digitalizar"
"2024/01/11 9:15:07 p.m. GMT+1","Intermedio","No","Neutrales","Bajas comisiones","Incertidumbre financiera","No","Indiferente","Innovadora","Largo plazo","Demanda y oferta","Sí","No me gusra","Descentralización del poder financiero","No","Importante "